URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhir.ch/ig/ch-core/ValueSet/CHCoreGeneralConsentStateVS,7.0.0-ballot,active,,CHCoreGeneralConsentStateVS,CH Core General Consent State,"Allowed status values for CH Core General Consent: only active and inactive.",,"hl7.fhir.r4.core"
http://fhir.ch/ig/ch-core/ValueSet/ConsentCategoriesVS,7.0.0-ballot,active,,ConsentCategoriesVS,ConsentCategoriesVS,"ValueSet of all used codes for the Consent.category",,"LOINC"
http://fhir.ch/ig/ch-core/ValueSet/ConsentProvisionCodesVS,7.0.0-ballot,active,,ConsentProvisionCodesVS,ConsentProvisionCodesVS,"ValueSet of all used codes for Consent.provision.code",,"Internal"
