URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-result,2.0.0-ballot,draft,,IVRVSresult,IVR Result,"List of effects of procedures on the patient.","StructureDefinition/ch-ems-observation-conditionchange,StructureDefinition/logicalmodel-ems-protocol","SCT"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-size,2.0.0-ballot,draft,,IVRVSsize,IVR Size,"List of the size of an object compared to normal.","StructureDefinition/logicalmodel-ems-protocol,StructureDefinition/ch-ems-observation-pupilsize","SCT"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-symptom,2.0.0-ballot,draft,,IVRVSsymptom,IVR Symptom,"List of symptoms of a patient.","StructureDefinition/ch-ems-observation-anamnesissymptom,StructureDefinition/logicalmodel-ems-protocol","SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-teamRole,2.0.0-ballot,draft,,IVRVSteamRole,IVR Team Role,"List of the crew member's role.","StructureDefinition/ch-ems-ext-teamrole,StructureDefinition/logicalmodel-ems-protocol,StructureDefinition/ch-ems-practitionerrole","SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-transDisinfection,2.0.0-ballot,draft,,Ech0207transDisinfection,IVR Transport Unit Disinfection,"List of methods for cleaning and disinfecting the rescue device.","StructureDefinition/ch-ems-ext-disinfection,StructureDefinition/logicalmodel-ems-protocol","SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-transReason,2.0.0-ballot,draft,,IVRVStransReason,IVR Transport Reason,"List of triggers for a mission.","StructureDefinition/ch-ems-encounter,StructureDefinition/logicalmodel-ems-protocol","Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-urgency,2.0.0-ballot,draft,,Urgency,IVR Urgency,"List of the mission's priorities.","StructureDefinition/ch-ems-encounter,StructureDefinition/logicalmodel-ems-protocol","Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-urgency-adequate,2.0.0-ballot,draft,,IVRVSurg_adequate,IVR Urgency Adequate,"List of assessments of the priority of the mission set by the emergency call center.","StructureDefinition/ch-ems-ext-urgencyadequate,StructureDefinition/logicalmodel-ems-protocol","SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-valType,2.0.0-ballot,draft,,IVRVSvalTxpe,IVR Valuables Type,"List of types of the patient's valuables.","StructureDefinition/ch-ems-ext-valuablespatient,StructureDefinition/logicalmodel-ems-protocol","SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-ventilation,2.0.0-ballot,draft,,IVRVSventilation,IVR Ventilation,"List of types of artificial respiration.","StructureDefinition/logicalmodel-ems-protocol,StructureDefinition/ch-ems-procedure-breathing","SCT"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-vigilanzAvpu,2.0.0-ballot,draft,,Vigilanzavpu,IVR Vigilanz (AVPU),"List of the states of vigilance of a patient (AVPU).","StructureDefinition/ch-ems-observation-avpu,StructureDefinition/logicalmodel-ems-protocol","Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-violenceForm,2.0.0-ballot,draft,,IVRVSviolenceForm,IVR Violence Form,"List of types of violence against ambulance personnel.","StructureDefinition/ch-ems-ext-violence,StructureDefinition/logicalmodel-ems-protocol","SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-violenceResult,2.0.0-ballot,draft,,IVRVSviolenceResult,IVR Violence Result,"List of the consequences of violence against emergency service personnel.","StructureDefinition/ch-ems-ext-violence,StructureDefinition/logicalmodel-ems-protocol","SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-woundTreat,2.0.0-ballot,draft,,IVRVSwoundTreat,IVR Wound Treatment,"List of wound treatment types.","StructureDefinition/ch-ems-procedure-woundtreatment,StructureDefinition/logicalmodel-ems-protocol","SCT"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-yesNoUnknown,2.0.0-ballot,draft,,IVRVSyesNoUnknown,IVR Yes/No/Unknown,"List of answers (yes/no/unknown).","StructureDefinition/logicalmodel-ems-protocol,StructureDefinition/ch-ems-observation-stroke-fast","SCT"
http://fhir.ch/ig/ch-term/ValueSet/ActivePharmaceuticalIngredient,3.4.0,active,"2.16.756.5.30.1.1.11.82",ActivePharmaceuticalIngredient,ActivePharmaceuticalIngredient,"ActivePharmaceuticalIngredient","StructureDefinition/logicalmodel-ems-protocol","SCT"
http://fhir.ch/ig/ch-term/ValueSet/edqm-administrationmethod,3.4.0,active,,AdministrationMethodEDQM,EDQM - Administration Method,"ValueSet Administration method from EDQM, AME, see https://standardterms.edqm.eu/#","StructureDefinition/logicalmodel-ems-protocol","ch.fhir.ig.ch-term"
http://fhir.ch/ig/ch-term/ValueSet/edqm-pharmaceuticaldoseform,3.4.0,active,"2.16.756.5.30.1.1.11.3",PharmaceuticalDoseFormEDQM,EDQM - Pharmaceutical Dose Form,"Valueset Pharmaceutical Dose Form from EDQM, PDF, export20.5.2021, see https://standardterms.edqm.eu/#","StructureDefinition/logicalmodel-ems-protocol","ch.fhir.ig.ch-term"
http://fhir.ch/ig/ch-term/ValueSet/edqm-routeofadministration,3.4.0,active,"2.16.756.5.30.1.1.11.2",RouteOfAdministrationEDQM,EDQM - RouteOfAdministration,"Valueset RouteOfAdministration from EDQM, ROA, export 1.6.2021, see https://standardterms.edqm.eu/\#","StructureDefinition/logicalmodel-ems-protocol","ch.fhir.ig.ch-term"
http://hl7.org/fhir/ValueSet/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/logicalmodel-ems-protocol","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/allergy-intolerance-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.131",AllergyIntoleranceType,AllergyIntoleranceType,"Identification of the underlying physiological mechanism for a Reaction Risk.","StructureDefinition/logicalmodel-ems-protocol","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/body-site,4.0.1,draft,"2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/logicalmodel-ems-protocol","SCT"
