"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"EMSProtocol","EMSProtocol","","","",0,*,"","","","null {[]} {[]}
","Einsatzprotokoll für Rettungsdienste","The logical model represents the Emergency Medical Service protocol as an abstract data model. The data elements defined in this model are mapped to the FHIR document structure.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"EMSProtocol.mission","EMSProtocol.mission","","","",1,1,"","","","BackboneElement {[]} {[]}
","Einsatz","Einsatz","","","","","","","","","",,,,,"",,,,"EMSProtocol.mission",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"EMSProtocol.mission.id","EMSProtocol.mission.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"EMSProtocol.mission.extension","EMSProtocol.mission.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"EMSProtocol.mission.modifierExtension","EMSProtocol.mission.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"EMSProtocol.mission.date","EMSProtocol.mission.date","","","",1,1,"","","","date {[]} {[]}
","Einsatzdatum","Einsatzdatum","","","","","","","","","",,,,,"",,,,"EMSProtocol.mission.date",1,1,"",""
"EMSProtocol.mission.number","EMSProtocol.mission.number","","","",1,1,"","","","Identifier {[]} {[]}
","Einsatznummer SNZ (Sanitätsnotrufzentrale)","Einsatznummer SNZ (Sanitätsnotrufzentrale)","","","","","","","","","",,,,,"",,,,"EMSProtocol.mission.number",1,1,"",""
"EMSProtocol.mission.type","EMSProtocol.mission.type","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Einsatzart","Einsatzart","","","","","","","","","",,"extensible","IVR VS (IVR)","http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-missionType","",,,,"EMSProtocol.mission.type",0,1,"",""
"EMSProtocol.mission.transportReason","EMSProtocol.mission.transportReason","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Transportgrund","Transportgrund","","","","","","","","","",,"extensible","IVR VS (IVR)","http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-transReason","",,,,"EMSProtocol.mission.transportReason",0,*,"",""
"EMSProtocol.mission.urgency","EMSProtocol.mission.urgency","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Dringlichkeit","Dringlichkeit","","","","","","","","","",,"extensible","IVR VS (IVR)","http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-urgency","",,,,"EMSProtocol.mission.urgency",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
