URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-preTreatment,2.0.0-ballot,draft,,PreTreatmen,IVR Pretreatment,"List of types of persons who performed pretreatment.",,"SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-pressureMethod,2.0.0-ballot,draft,,IVRVSpressureMethod,IVR Blood Pressure Method,"List of methods for measuring the blood pressure.",,"SCT"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-procAirType,2.0.0-ballot,draft,,IVRVSprocAirType,IVR Procedure Airway Type,"List of procedures for securing the airway.",,"SCT"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-pulesResult,2.0.0-ballot,draft,,IVRVSpulesResult,IVR Pulse Result,"List of pulse findings.",,"SCT"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-pulseMethod,2.0.0-ballot,draft,,IVRVSPulseMethod,IVR Pulse Method,"List of methods for assessing heart function.",,"SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-respirationObservation,2.0.0-ballot,draft,,IVRVSrespirationObservation,IVR Respiration Observation,"List of findings in the assessment of breathing.",,"SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-result,2.0.0-ballot,draft,,IVRVSresult,IVR Result,"List of effects of procedures on the patient.",,"SCT"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-size,2.0.0-ballot,draft,,IVRVSsize,IVR Size,"List of the size of an object compared to normal.",,"SCT"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-symptom,2.0.0-ballot,draft,,IVRVSsymptom,IVR Symptom,"List of symptoms of a patient.",,"SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-teamRole,2.0.0-ballot,draft,,IVRVSteamRole,IVR Team Role,"List of the crew member's role.",,"SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-transDisinfection,2.0.0-ballot,draft,,Ech0207transDisinfection,IVR Transport Unit Disinfection,"List of methods for cleaning and disinfecting the rescue device.",,"SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-transReason,2.0.0-ballot,draft,,IVRVStransReason,IVR Transport Reason,"List of triggers for a mission.",,"Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-urgency,2.0.0-ballot,draft,,Urgency,IVR Urgency,"List of the mission's priorities.",,"Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-urgency-adequate,2.0.0-ballot,draft,,IVRVSurg_adequate,IVR Urgency Adequate,"List of assessments of the priority of the mission set by the emergency call center.",,"SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-valType,2.0.0-ballot,draft,,IVRVSvalTxpe,IVR Valuables Type,"List of types of the patient's valuables.",,"SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-ventilation,2.0.0-ballot,draft,,IVRVSventilation,IVR Ventilation,"List of types of artificial respiration.",,"SCT"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-vigilanzAvpu,2.0.0-ballot,draft,,Vigilanzavpu,IVR Vigilanz (AVPU),"List of the states of vigilance of a patient (AVPU).",,"Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-violenceForm,2.0.0-ballot,draft,,IVRVSviolenceForm,IVR Violence Form,"List of types of violence against ambulance personnel.",,"SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-violenceResult,2.0.0-ballot,draft,,IVRVSviolenceResult,IVR Violence Result,"List of the consequences of violence against emergency service personnel.",,"SCT,Internal"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-woundTreat,2.0.0-ballot,draft,,IVRVSwoundTreat,IVR Wound Treatment,"List of wound treatment types.",,"SCT"
http://fhir.ch/ig/ch-ems/ValueSet/IVR-VS-yesNoUnknown,2.0.0-ballot,draft,,IVRVSyesNoUnknown,IVR Yes/No/Unknown,"List of answers (yes/no/unknown).",,"SCT"
