"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ParameterV40","ParameterV40","ParameterV40","","","",0,*,"","","","null {[]} {[]}
","CH ALIS Leistungsschnittstelle - ParameterV40","4, ParameterV40, Optional (0,N)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ParameterV40","ParameterV40.ParamTyp","ParameterV40.ParamTyp","","","",1,1,"","","","string {[]} {[]}
","4.1, ParamTyp, Alphanum., Obligatorisch","4.1, ParamTyp, Alphanum., Obligatorisch","Most ParamTyp values are carried in the generic ParameterV40 extension on ChargeItem. Some values are instead mapped to dedicated FHIR elements: BMI -> ChargeItem.supportingInformation, Billable -> ChargeItem.status, Amount -> ChargeItem.priceOverride.value, SLIndicationCode -> the CH Core indication-code extension. See the ParamTyp code system and the ParameterV40 Concept Map.","","","","","","","","",,,,,"",,,,"ParameterV40.ParamTyp",1,1,"",""
"ParameterV40","ParameterV40.ParamValue","ParameterV40.ParamValue","","","",1,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Text {[]} {[]}
","4.2, ParamValue, Alphanum., Obligatorisch","4.2, ParamValue, Alphanum., Obligatorisch","","","","","","","","","",,,,,"",,,,"ParameterV40.ParamValue",1,1,"",""
"PersonV40","PersonV40","PersonV40","","","",0,*,"","","","null {[]} {[]}
","CH ALIS Leistungsschnittstelle - PersonV40","3.22, PersonV40	Optional (0,N)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"PersonV40","PersonV40.PersonTyp","PersonV40.PersonTyp","","","",1,1,"","","","string {[]} {[]}
","3.22.1	PersonTyp	Alphanum.		Obligatorisch","3.22.1	PersonTyp	Alphanum.		Obligatorisch","","","","","","","","","",,,,,"",,,,"PersonV40.PersonTyp",1,1,"",""
"PersonV40","PersonV40.PersonID","PersonV40.PersonID","","","",1,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Text {[]} {[]}
","3.22.2	PersonID Alphanum.Obligatorisch","3.22.2	PersonID Alphanum.Obligatorisch","","","","","","","","","",,,,,"",,,,"PersonV40.PersonID",1,1,"",""
"Service","Service","Service","","","",0,*,"","","","null {[]} {[]}
","CH ALIS Leistungsschnittstelle - Service","3, Leistung, Leistungen stehen zum Patient im Verhltnis 1:N","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Service","Service.Transaction","Service.Transaction","","","",0,1,"","","","string {[]} {[]}
","Optional, only required for possible value delete","3.1, Transaktion, Alphanum., Attribut im Knoten „Leistung“, Kennzeichen der Transaktion (insert, update, delete), Optional","","","","","","","","","",,,,,"",,,,"Service.Transaction",0,1,"",""
"Service","Service.ServiceDate","Service.ServiceDate","","","",1,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/DateTime {[]} {[]}
","3.2, Leistungs - Datum, XML-Format Datetime, Datum, Zeit der Leistungserbringung","3.2, Leistungs - Datum, XML-Format Datetime, Datum, Zeit der Leistungserbringung","","","","","","","","","",,,,,"",,,,"Service.ServiceDate",1,1,"",""
"Service","Service.SessionID","Service.SessionID","","","",0,1,"","","","http://fhir.ch/ig/ch-alis-connect/StructureDefinition/Text {[]} {[]}
","3.3, Sitzung, Alphanum. Max. 64 Zeichen, Verwendung nur wenn SessionIDSectionB 3.15 nicht verwendet wird, 1 – n / Tag","3.3, Sitzung, Alphanum. Max. 64 Zeichen, Verwendung nur wenn SessionIDSectionB 3.15 nicht verwendet wird, 1 – n / Tag","","","","","","","","","",,,,,"",,,,"Service.SessionID",0,1,"",""
