Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ch.fhir.ig.ch-vacd.json	126502	-	0	0	0	0	0	0	13	225	0	0	0	0	0	0	0	3	0	0	500	415	0	0	0	15	0	14
fsh-generated/resources/AllergyIntolerance-11-1-AllergyIntolerance.json	878	5	0	0	0	0	0	0	0	567	0	0	0	0	0	0	0	0	0	0	17	12	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-11-2-AllergyIntolerance.json	873	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	19	11	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-11-3-AllergyIntolerance.json	878	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	10	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-11-4-AllergyIntolerance.json	873	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	11	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-TCB01-ALLINTO1.json	1223	3	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-TCF02-ALLINTO1.json	1118	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-TCF02-ALLINTO2.json	2231	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	19	11	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-TCF02-ALLINTO3.json	1389	4	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0
fsh-generated/resources/Binary-1-1-ImmunizationAdministration-Binary.json	181014	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	451	35	0	0	0	0	0	0
fsh-generated/resources/Binary-originalRepresentation1.json	84568	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	20	0	0	0	0	0	0
fsh-generated/resources/Bundle-1-1-ImmunizationAdministration.json	202005	8	0	0	0	0	85	0	1	23	0	0	0	0	0	0	0	1	0	0	547	46	0	0	0	0	0	0
fsh-generated/resources/Bundle-1-3-VaccinationRecord.json	73906	11	0	0	0	0	28	0	1	156	0	0	0	0	0	0	0	0	0	0	216	272	0	0	0	0	0	1
fsh-generated/resources/Bundle-1-4-ImmunizationRecommendationRequest.json	30063	8	1	0	0	0	12	0	1	81	0	0	0	0	0	0	0	0	0	0	125	76	0	0	0	0	0	0
fsh-generated/resources/Bundle-1-5-ImmunizationRecommendationResponse.json	8969	3	0	0	0	0	8	0	0	34	0	0	0	0	0	0	0	0	0	0	39	25	0	0	0	0	0	0
fsh-generated/resources/Bundle-A-D1-P-C1.json	14759	6	0	0	0	0	8	0	1	243	0	0	0	0	0	0	0	0	0	0	49	32	0	0	0	0	0	0
fsh-generated/resources/Bundle-A-D2-HCP1-C1.json	12550	5	0	0	0	0	4	0	0	11	0	0	0	0	0	0	0	0	0	0	42	29	0	0	0	0	0	0
fsh-generated/resources/Bundle-A-D3-HCP2-C2.json	15530	5	0	0	0	0	3	0	1	9	0	0	0	0	0	0	0	1	0	0	63	34	0	0	0	0	0	0
fsh-generated/resources/Bundle-A-D4-HCP2-C2.json	15863	5	0	0	0	0	4	0	0	9	0	0	0	0	0	0	0	0	0	0	68	33	0	0	0	0	0	0
