URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://fhir.ch/ig/ch-ig/CodeSystem/ch-ig-example,1.0.0,draft,,ChIgExample,CH IG Example,"CH IG Example code system is just an example!",
http://fhir.ch/ig/ch-ig/CodeSystem/ch-ig-example-translation,1.0.0,active,,ChIgExampleTranslation,CH IG Example Translation,"CH IG Example Translation code system is just an example with translated values!",
