Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Bundle-D-D1-HCP1-C1.json	21853	13	1	0	0	0	4	0	0	9	0	0	0	0	0	0	0	0	0	0	50	16	0	0	0	0	0	1
fsh-generated/resources/Bundle-D-D2-HCP2-C2.json	27540	15	0	0	0	0	5	0	1	13	0	0	0	0	0	0	0	0	0	0	65	21	0	0	0	0	0	0
fsh-generated/resources/Bundle-D-D3-HCP1-C1.json	26732	14	0	0	0	0	6	0	0	12	0	0	0	0	0	0	0	0	0	0	62	24	0	0	0	0	0	0
fsh-generated/resources/Bundle-D-D4-HCP2-C2.json	32115	17	0	0	0	0	7	0	1	14	0	0	0	0	0	0	0	0	0	0	79	26	0	0	0	0	0	0
fsh-generated/resources/Bundle-D-D5-HCP1-C1.json	10499	6	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	24	12	0	0	0	0	0	0
fsh-generated/resources/Bundle-D-D6-HCP2-C2.json	13847	8	0	0	0	0	4	0	0	5	0	0	0	0	0	0	0	0	0	0	32	13	0	0	0	0	0	0
fsh-generated/resources/Bundle-D-D7-HCP3-C1.json	13846	8	0	0	0	0	3	0	0	6	0	0	0	0	0	0	0	0	0	0	31	14	0	0	0	0	0	1
fsh-generated/resources/Bundle-E-D1-HCP1-C1.json	21345	12	0	0	0	0	4	0	1	10	0	0	0	0	0	0	0	0	0	0	51	19	0	0	0	0	0	0
fsh-generated/resources/Bundle-E-D2-HCP1-C1.json	10418	6	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	25	11	0	0	0	0	0	0
fsh-generated/resources/Bundle-F-D1-HCP1-C1.json	14854	9	1	0	0	0	3	0	0	6	0	0	0	0	0	0	0	0	0	0	47	16	0	0	0	0	0	0
fsh-generated/resources/Bundle-F-D2-HCP1-C1.json	16127	9	0	0	0	0	5	0	0	13	0	0	0	0	0	0	0	1	0	0	48	18	0	0	0	0	0	0
fsh-generated/resources/Bundle-F-D3-HCP1-C1.json	10229	6	0	0	0	0	3	0	1	3	0	0	0	0	0	0	0	0	0	0	31	10	0	0	0	0	0	0
fsh-generated/resources/Bundle-F-D4-HCP1-C1.json	11582	6	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	33	11	0	0	0	0	0	0
